Sl. No.,State/UT,Total Central Share Released,Total Utilization
1,Arunachal Pradesh,376.04,422.05
2,Assam,23686.98,24301.88
3,Bihar,19572.62,33025
4,Chhattisgarh,7703.99,9827.13
5,Goa,0,1.98
6,Gujarat,3653.56,5274.51
7,Haryana,191.02,248.91
8,Himachal Pradesh,1052.29,876.16
9,Jammu and Kashmir,3474.43,3725.51
10,Jharkhand,6835.27,11293.72
11,Kerala,138.42,334.59
12,Madhya Pradesh,19969.61,28124.72
13,Maharashtra,10001.76,13711.25
14,Manipur,653.12,544.6
15,Meghalaya,1978.91,2089.92
16,Mizoram,258.5,273.72
17,Nagaland,476.38,529.93
18,Odisha,10652.47,16345.25
19,Punjab,411.63,448.91
20,Rajasthan,5979.04,10864.07
21,Sikkim,3.12,4.71
22,Tamil Nadu,3207.25,4918.06
23,Tripura,4228.06,4350.87
24,Uttar Pradesh,16086.31,26961.4
25,Uttarakhand,685.72,738.66
26,West Bengal,9498.38,16679.8
27,Andaman and Nicobar,22.33,16.56
28,Dadra and Nagar Haveli and Daman and Diu,16.12,110.8
29,Lakshadweep,0,0.01
30,Puducherry,0,0
31,Andhra Pradesh,425.75,679.79
32,Karnataka,632.56,915.64
33,Telangana,0,0
34,Ladakh,21.99,20.6
Total,Total,151893.64,217660.83
